"id";"NameStrat";"Link";"Version";"Exchange";"Pair";"Start1";"Start2";"StartDate";"EndDate";"HoldResult";"StratResult";"totalResult";"nbTrades";"backTestTime";"graphlocation"
"1";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"LINK / BTC";"0 LINK";"0.1 BTC";"03/07/2020";"10/07/2020";"+25.531";"+15.14";"-10.391";"26 trades";"22";"GRAPHS/1.png"
"2";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"LINK / ETH";"0 LINK";"2.5 ETH";"03/07/2020";"10/07/2020";"+20.168";"+13.977";"-6.191";"25 trades";"21";"GRAPHS/2.png"
"3";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"KCS / BTC";"0 KCS";"0.1 BTC";"03/07/2020";"10/07/2020";"-11.338";"-8.054";"+3.284";"14 trades";"19";"GRAPHS/3.png"
"4";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"ATOM / BNB";"0 ATOM";"50 BNB";"03/07/2020";"10/07/2020";"+35.397";"+16.826";"-18.571";"26 trades";"19";"GRAPHS/4.png"
"5";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"XTZ / BTC";"0 XTZ";"0.1 BTC";"03/07/2020";"10/07/2020";"+6.807";"+2.362";"-4.445";"15 trades";"20";"GRAPHS/5.png"
"6";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"OGN / BTC";"0 OGN";"0.1 BTC";"03/07/2020";"10/07/2020";"+21.775";"+22.839";"+1.064";"38 trades";"32";"GRAPHS/6.png"
"7";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"WRX / BTC";"0 WRX";"0.1 BTC";"03/07/2020";"10/07/2020";"+1.25";"+1.623";"+0.373";"15 trades";"20";"GRAPHS/7.png"
"8";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"COTI / BTC";"0 COTI";"0.1 BTC";"03/07/2020";"10/07/2020";"+21.384";"+11.157";"-10.227";"32 trades";"23";"GRAPHS/8.png"
"9";"GAÏA EVOLUTION";"https://platform.kryll.io/marketplace/5cd021a7a2b4ea1b142a01a7";"VERSION 12";"";"REN / BTC";"0 REN";"0.1 BTC";"03/07/2020";"10/07/2020";"+15.549";"+5.638";"-9.911";"43 trades";"33";"GRAPHS/9.png"
"10";"🦎 GEKKO BOT [V7]";"https://platform.kryll.io/marketplace/5dc70e5fb9a8334b7d9b4716";"VERSION 7";"";"BTC / USDT";"0 BTC";"500 USDT";"03/07/2020";"10/07/2020";"+1.638";"-0.441";"-2.079";"2 trades";"22";"GRAPHS/10.png"
